demand_rank,block_id,area,lat,lon,individuals,tents,vehicles,demand,count_date,method,individual_multiplier,tent_multiplier,vehicle_multiplier
54,06TH_AV_F_ST,Gaslamp,32.713099,-117.1596933,4,0,0,4,2025-01-31,POST2020,1,1.75,2.03
55,07TH_AV_F_ST,East Village,32.7130998,-117.1587686,4,0,0,4,2025-01-31,POST2020,1,1.75,2.03
56,08TH_AV_MARKET_ST,East Village,32.7109649,-117.1578318,4,0,0,4,2025-01-31,POST2020,1,1.75,2.03
57,10TH_AV_E_ST,East Village,32.7141601,-117.1560379,4,0,0,4,2025-01-31,POST2020,1,1.75,2.03
58,KETTNER_BL_W_G_ST,Marina,32.7120006,-117.1701176,4,0,0,4,2025-01-31,POST2020,1,1.75,2.03
59,PARK_BL_E_ST,East Village,32.7141746,-117.154232,4,0,0,4,2025-01-31,POST2020,1,1.75,2.03
60,I-5_SB_ON_RA_E_ST,East Village,32.7141444,-117.1484371,0,2,0,3.5,2025-01-31,POST2020,1,1.75,2.03
61,17TH_ST_E_ST,East Village,32.7141842,-117.1489562,1,0,1,3.03,2025-01-31,POST2020,1,1.75,2.03
62,01ST_AV_W_A_ST,City Center,32.7182995,-117.1642723,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
63,03RD_AV_ASH_ST,Cortez,32.7193651,-117.162472,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
64,04TH_AV_BROADWAY,City Center,32.7140043,-117.1624468,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
65,04TH_AV_G_ST,Marina,32.7120166,-117.1615051,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
66,05TH_AV_MARKET_ST,Gaslamp,32.710951,-117.1605705,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
67,06TH_AV_G_ST,Gaslamp,32.7120348,-117.1596875,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
68,06TH_AV_MARKET_ST,Gaslamp,32.7109659,-117.1596713,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
69,07TH_AV_BROADWAY,City Center,32.7151884,-117.158807,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
70,07TH_AV_B_ST,City Center,32.7172886,-117.1588132,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
71,08TH_AV_B_ST,City Center,32.7172848,-117.157879,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
72,10TH_AV_B_ST,City Center,32.7172883,-117.1560639,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
73,13TH_ST_BROADWAY,East Village,32.7152197,-117.1533262,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
74,14TH_ST_K_ST,East Village,32.7078495,-117.1523339,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
75,15TH_ST_MARKET_ST,East Village,32.7109935,-117.1511361,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
76,16TH_ST_IMPERIAL_AV,East Village,32.7057509,-117.1498956,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
77,COLUMBIA_ST_W_B_ST,Columbia,32.7172386,-117.167824,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
78,STATE_ST_W_C_ST,Columbia,32.7162225,-117.1669388,3,0,0,3,2025-01-31,POST2020,1,1.75,2.03
79,11TH_AV_E_ST,East Village,32.7141652,-117.1551235,1,1,0,2.75,2025-01-31,POST2020,1,1.75,2.03
80,SR-163_NB_ON_RA_ASH_ST,Cortez,32.7193915,-117.1552592,1,1,0,2.75,2025-01-31,POST2020,1,1.75,2.03
81,02ND_AV_I-5_SB,Cortez,32.7225051,-117.1634219,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
82,03RD_AV_C_ST,City Center,32.7162277,-117.162456,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
83,04TH_AV_A_ST,City Center,32.7183232,-117.161562,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
84,04TH_AV_ISLAND_AV,Marina,32.7098934,-117.1614691,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
85,05TH_AV_B_ST,City Center,32.7172852,-117.160627,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
86,05TH_AV_E_ST,Gaslamp,32.7141324,-117.1606053,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
87,05TH_AV_F_ST,Gaslamp,32.7130875,-117.1605939,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
88,05TH_AV_J_ST,Gaslamp,32.7088473,-117.160541,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
89,06TH_AV_CEDAR_ST,Cortez,32.7214606,-117.1597531,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
90,06TH_AV_J_ST,Gaslamp,32.7088562,-117.159649,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
91,06TH_AV_K_ST,Gaslamp,32.7077977,-117.1596315,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
92,06TH_AV_L_ST,Gaslamp,32.7068019,-117.1597181,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
93,07TH_AV_CEDAR_ST,Cortez,32.7214614,-117.1588533,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
94,08TH_AV_C_ST,City Center,32.7162322,-117.1578665,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
95,09TH_AV_G_ST,East Village,32.7120459,-117.156925,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
96,10TH_AV_F_ST,East Village,32.7131208,-117.1560443,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
97,13TH_ST_L_ST,East Village,32.7068048,-117.1532624,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
98,14TH_ST_ISLAND_AV,East Village,32.7099402,-117.1523586,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
99,15TH_ST_ISLAND_AV,East Village,32.7099405,-117.1511399,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
100,15TH_ST_J_ST,East Village,32.7088926,-117.1511125,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
101,16TH_ST_E_ST,East Village,32.7141937,-117.149932,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
102,16TH_ST_ISLAND_AV,East Village,32.7099323,-117.1499034,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
103,COLUMBIA_ST_W_ASH_ST,Columbia,32.7193473,-117.1678351,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
104,COLUMBIA_ST_W_C_ST,Columbia,32.7162135,-117.1678207,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
105,Map_Border_BROADWAY,City Center,32.7152117,-117.1624423,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
106,STATE_ST_Map_Border,Marina,32.7135653,-117.1678267,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
107,STATE_ST_W_B_ST,Columbia,32.7172463,-117.1669394,2,0,0,2,2025-01-31,POST2020,1,1.75,2.03
108,17TH_ST_F_ST,East Village,32.7131541,-117.1490065,0,1,0,1.75,2025-01-31,POST2020,1,1.75,2.03
109,INDIA_ST_W_A_ST,Columbia,32.7182884,-117.1687155,0,1,0,1.75,2025-01-31,POST2020,1,1.75,2.03
110,S_17TH_ST_COMMERCIAL_ST,Outside Perimeter,32.7049507,-117.1488823,0,1,0,1.75,2025-01-31,POST2020,1,1.75,2.03
111,01ST_AV_W_ISLAND_AV,Marina,32.7097153,-117.1643067,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
112,02ND_AV_CEDAR_ST,Cortez,32.7214684,-117.1634179,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
113,02ND_AV_MARKET_ST,Marina,32.7109377,-117.1633132,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
114,03RD_AV_MARKET_ST,Marina,32.7109401,-117.1623893,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
115,04TH_AV_B_ST,City Center,32.7172806,-117.1615558,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
116,05TH_AV_C_ST,City Center,32.7162302,-117.1606236,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
117,05TH_AV_I-5_SB,Cortez,32.7222727,-117.1606357,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
118,05TH_AV_ISLAND_AV,Gaslamp,32.709901,-117.1605805,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
119,05TH_AV_K_ST,Gaslamp,32.7077649,-117.1604955,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
120,06TH_AV_A_ST,City Center,32.7183308,-117.1597219,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
121,08TH_AV_ASH_ST,Cortez,32.7193799,-117.1579077,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
122,08TH_AV_ISLAND_AV,East Village,32.7099063,-117.1578277,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
123,10TH_AV_G_ST,East Village,32.7120547,-117.1560204,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
124,10TH_AV_ISLAND_AV,East Village,32.7099117,-117.1559891,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
125,10TH_AV_J_ST,East Village,32.707721,-117.1568893,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
126,11TH_AV_BROADWAY,City Center,32.715209,-117.1551477,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
127,11TH_AV_ISLAND_AV,East Village,32.7099236,-117.1551035,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
128,11TH_AV_K_ST,East Village,32.7080323,-117.1551208,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
129,12TH_AV_PARK_BL,East Village,32.7069832,-117.1545023,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
130,13TH_ST_F_ST,East Village,32.7131305,-117.1532985,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
131,14TH_ST_E_ST,East Village,32.7141857,-117.1524186,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
132,16TH_ST_BROADWAY,East Village,32.7152315,-117.149933,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
133,19TH_ST_J_ST,Outside Perimeter,32.707881,-117.1470956,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
134,CALIFORNIA_ST_W_ASH_ST,Columbia,32.7177515,-117.1705567,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
135,COLUMBIA_ST_W_A_ST,Columbia,32.7182872,-117.1678202,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
136,COLUMBIA_ST_W_G_ST,Marina,32.7119064,-117.1682576,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
137,FRONT_ST_W_ASH_ST,Cortez,32.7193522,-117.1651687,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
138,FRONT_ST_W_A_ST,City Center,32.7182965,-117.165161,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
139,FRONT_ST_W_F_ST,Marina,32.713051,-117.1651209,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
140,FRONT_ST_W_MARKET_ST,Marina,32.7106324,-117.1662764,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
141,I-5_SB_ON_RA_F_ST,East Village,32.7131625,-117.1482564,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
142,I-5_SB_ON_RA_G_ST,East Village,32.7120816,-117.1481739,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
143,INDIA_ST_W_ASH_ST,Columbia,32.7193441,-117.1687367,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
144,PARK_BL_A_ST,City Center,32.7183468,-117.1542312,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
145,PARK_BL_BROADWAY,City Center,32.7152116,-117.1542276,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
146,PARK_BL_MARKET_ST,East Village,32.7109863,-117.1541961,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
147,STATE_ST_W_BROADWAY,Columbia,32.7151604,-117.1678381,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
148,UNION_ST_W_A_ST,Columbia,32.7182992,-117.1660611,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
149,UNION_ST_W_B_ST,Columbia,32.7172451,-117.1660315,1,0,0,1,2025-01-31,POST2020,1,1.75,2.03
150,01ST_AV_I-5_SB,Cortez,32.7227731,-117.1643142,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
151,01ST_AV_W_ASH_ST,Cortez,32.7193598,-117.1642985,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
152,01ST_AV_W_BEECH_ST,Cortez,32.7204067,-117.1643077,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
153,01ST_AV_W_BROADWAY,City Center,32.7151717,-117.1642381,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
154,01ST_AV_W_CEDAR_ST,Cortez,32.7214641,-117.1643624,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
155,01ST_AV_W_C_ST,City Center,32.7162294,-117.1642716,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
156,01ST_AV_W_E_ST,City Center,32.7141304,-117.1642743,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
157,01ST_AV_W_F_ST,City Center,32.713081,-117.164253,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
158,01ST_AV_W_G_ST,Marina,32.7120086,-117.164258,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
159,01ST_AV_W_MARKET_ST,Marina,32.7109322,-117.164209,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
160,02ND_AV_ASH_ST,Cortez,32.7193655,-117.1634028,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
161,02ND_AV_BEECH_ST,Cortez,32.7204076,-117.1633936,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
162,02ND_AV_C_ST,City Center,32.7162296,-117.163365,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
163,02ND_AV_G_ST,Marina,32.7120049,-117.1633075,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
164,02ND_AV_ISLAND_AV,Marina,32.7098806,-117.1633191,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
165,03RD_AV_BEECH_ST,Cortez,32.7204129,-117.1624858,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
166,03RD_AV_G_ST,Marina,32.7120133,-117.1624121,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
167,03RD_AV_I-5_SB,Cortez,32.7223266,-117.1625336,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
168,03RD_AV_ISLAND_AV,Marina,32.7098903,-117.1623956,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
169,03RD_AV_J_ST,Marina,32.7084097,-117.1623282,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
170,04TH_AV_ASH_ST,Cortez,32.719375,-117.1615803,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
171,04TH_AV_BEECH_ST,Cortez,32.7204154,-117.1615763,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
172,04TH_AV_C_ST,City Center,32.7162311,-117.1615429,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
173,04TH_AV_I-5_SB,Cortez,32.7222703,-117.1616025,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
174,04TH_AV_J_ST,Marina,32.7088488,-117.1614727,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
175,04TH_AV_MARKET_ST,Marina,32.7109505,-117.1614943,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
176,05TH_AV_ASH_ST,Cortez,32.7193752,-117.1606493,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
177,05TH_AV_BEECH_ST,Cortez,32.7204177,-117.1606585,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
178,05TH_AV_G_ST,Gaslamp,32.7120267,-117.1605939,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
179,06TH_AV_ASH_ST,Cortez,32.7193801,-117.159752,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
180,06TH_AV_BEECH_ST,Cortez,32.7204162,-117.1597464,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
181,06TH_AV_E_ST,Gaslamp,32.7141385,-117.1596919,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
182,06TH_AV_ISLAND_AV,Gaslamp,32.7099052,-117.1596516,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
183,07TH_AV_ASH_ST,Cortez,32.7193765,-117.158832,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
184,07TH_AV_A_ST,City Center,32.7183422,-117.158841,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
185,07TH_AV_BEECH_ST,Cortez,32.7204099,-117.1588194,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
186,07TH_AV_C_ST,City Center,32.7162388,-117.1588143,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
187,07TH_AV_E_ST,East Village,32.7141496,-117.1587996,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
188,07TH_AV_G_ST,East Village,32.7120424,-117.1587796,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
189,07TH_AV_J_ST,East Village,32.7088603,-117.1587426,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
190,07TH_AV_MARKET_ST,East Village,32.7109631,-117.1587475,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
191,08TH_AV_A_ST,City Center,32.718341,-117.1579005,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
192,08TH_AV_BEECH_ST,Cortez,32.7204208,-117.1579315,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
193,08TH_AV_BROADWAY,City Center,32.7151887,-117.1578757,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
194,08TH_AV_CEDAR_ST,Cortez,32.7214624,-117.1579206,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
195,08TH_AV_DATE_ST,Cortez,32.7224837,-117.1579578,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
196,08TH_AV_F_ST,East Village,32.7131096,-117.1578741,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
197,08TH_AV_G_ST,East Village,32.7120448,-117.1578632,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
198,09TH_AV_ASH_ST,Cortez,32.7193836,-117.1569963,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
199,09TH_AV_A_ST,City Center,32.7183434,-117.1569918,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
200,09TH_AV_BEECH_ST,Cortez,32.7204252,-117.1570225,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
201,09TH_AV_BROADWAY,City Center,32.7151974,-117.156977,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
202,09TH_AV_B_ST,City Center,32.7172966,-117.1570047,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
203,09TH_AV_CEDAR_ST,Cortez,32.7214682,-117.1570136,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
204,09TH_AV_C_ST,City Center,32.7162425,-117.1569898,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
205,09TH_AV_DATE_ST,Cortez,32.722482,-117.1570188,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
206,09TH_AV_ISLAND_AV,East Village,32.7099196,-117.156932,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
207,09TH_AV_MARKET_ST,East Village,32.7109735,-117.1569277,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
208,10TH_AV_ASH_ST,Cortez,32.7193903,-117.156102,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
209,10TH_AV_A_ST,City Center,32.7183488,-117.1560903,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
210,10TH_AV_BEECH_ST,Cortez,32.7204857,-117.1561276,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
211,10TH_AV_CEDAR_ST,Cortez,32.7214876,-117.1561651,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
212,10TH_AV_DATE_ST,Cortez,32.7224867,-117.1561138,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
213,10TH_AV_MARKET_ST,East Village,32.7109825,-117.1560318,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
214,11TH_AV_B_ST,City Center,32.7172964,-117.1551753,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
215,11TH_AV_F_ST,East Village,32.7131258,-117.1551366,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
216,11TH_AV_G_ST,East Village,32.7120633,-117.1551275,0,0,0,0,2025-01-31,POST2020,1,1.75,2.03
