name,street,city,state,zip,days,distribution_type,hours,holiday_changes,food_provided,eligibility,tips,source
El Centro - Catholic Charities,250 W Orange Avenue,El Centro,CA,92243,Thursday,SENIORS ONLY (60+),1st Thursday of each month from 7:30 am - 11:00 am,Rescheduled Dates due to Holidays: January 5,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Encanto Southern Baptist Church,6020 Akins Ave,San Diego,CA,92114,Thursday,EFAP (DRY/FROZEN ITEMS),1st Thursday of the month from 11:00 am to 12:30 pm,Rescheduled in 2026 to: Jan 8,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Faith Chapel,9400 Campo Road,Spring Valley,CA,91977,Monday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),3rd Monday of the month from 10:00 am until food is gone,"January 26, 2026 and February 23, 2026",25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Fallbrook Food Pantry,140 N Brandon Road,Fallbrook,CA,92028,Wednesday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),Last Wednesday of the month from 9:00 am until food is gone,All distributions will be held on regularly scheduled days,25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Fallbrook Food Pantry,140 N Brandon Road,Fallbrook,CA,92028,Monday; Tuesday; Wednesday; Thursday; Friday,EFAP (DRY/FROZEN ITEMS),3rd week of the Month (Monday - Friday) from 9:30 am - 12:30 pm; Friday 4:00pm - 6:00pm or till food runs out,"Closed in 2026 on: Feb 16, Jun 19, Dec 24, Dec 25","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Fallbrook Spanish Seventh-Day Adventist Church,439 Iowa Street,Fallbrook,CA,92028,Friday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),1st Friday of the month from 6:00pm - 7:00pm,All distributions will be held on regularly scheduled days,25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Feeding the Flock,8118 University Avenue,La Mesa,CA,91942,Wednesday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),4th Wednesday of the month from 4:00pm - 6:00pm,Reschedules: December 16th,25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Food Pantry at Chollas View Church,904 47th street,San Diego,CA,92102,Saturday,EFAP (DRY/FROZEN ITEMS),Saturdays from 10:00 am - 12:00 pm,No Closures in 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Gloria McClellan Adult Activity & Resource Center,1400 Vale Terrace Drive,Vista,CA,92084,Tuesday,SENIORS ONLY (60+),3rd Tuesday of each month from 11:00 am - 12:00 pm,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Good News Baptist Church,4106 Swift Avenue,San Diego,CA,92104,Friday,EFAP (DRY/FROZEN ITEMS),1st Friday of the month from 9:00 am - 11:00 am,Rescheduled in 2026 to: Jul 10,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Good News Missionary Baptist Church,4106 Swift Avenue,San Diego,CA,92104,Wednesday,SENIORS ONLY (60+),2nd Wednesday of each month from 1:30 pm - 2:30 pm,Rescheduled Dates due to Holidays: November 16,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Grace Church - San Marcos,855 E Barham Drive,San Marcos,CA,92078,Wednesday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),1st Wednesday of the month from 5:30 pm to 6:30 pm,All distributions will be held on regularly scheduled days,25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Grandon Village,1607 Grandon Avenue,San Marcos,CA,92078,Tuesday,SENIORS ONLY (60+),2nd Tuesday of each month from 11:00 am - 12:00 pm,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Harvest Ridge Apartments,1388 E Palomar Street,Chula Vista,CA,91913,Tuesday,SENIORS ONLY (60+),2nd Tuesday of each month from 1:30 pm - 3:00 pm,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Hearts & Hands Working Together,4235 Beyer Blvd.,San Ysidro,CA,92173,Tuesday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),1st Tuesday of the month from 8:00 am until food is gone,All distributions will be held on regularly scheduled days,25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Hearts & Hands Working Together,4211 Camino De La Plaza,San Diego,CA,92173,Friday,EFAP (DRY/FROZEN ITEMS),3rd Friday of the month from 8:00 am - 11:00 am,Rescheduled to: Jun 12,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Hearts & Hands Working Together,663 E San Ysidro Boulevard,San Ysdiro,CA,92173,Monday; Tuesday; Wednesday; Thursday; Friday,EFAP (DRY/FROZEN ITEMS),Monday - Friday from 3:00 pm - 5:30 pm,"Closed in 2026 on: Jan 1, Jan 2, Jan 6, Jan 16, Jan 19, Feb 3, Feb 16, Feb 20, Mar 3, Mar 20, Mar 31, Apr 7, Apr 17, May 5, May 15, May 25, Jun 2, Jun 12, Jun 19, Jul 3, Jul 7, Jul 17, Aug 4, Aug 21, Sep 1, Sep 7, Sep 18, Oct 6, Oct 12, Oct 16, Nov 3, Nov 11, Nov 20, Nov 26, Nov 27, Dec 1, Dec 18, Dec 24, Dec 25, Dec 31","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Heaven's Windows,8848 Troy Street,Spring Valley,CA,91977,Tuesday; Wednesday; Thursday; Friday,EFAP (DRY/FROZEN ITEMS),Tuesday - Friday from 9:00 am - 12:00 pm,"Closed in 2026 on: Jan 1, Jan 2, Jun 19, Jul 3, Nov 11, Nov 26, Nov 27, Dec 25, Dec 28, Dec 29, Dec 30, Dec 31","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
ICNA Relief USA,833 Broadway,El Cajon,CA,92021,Thursday,EFAP (DRY/FROZEN ITEMS),1st Thursday of the month 9 am - 11 am,Rescheduled on: Jan 8; No Distribution in August,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Iglesia Casa de Alabanza,3055 Beyer Boulevard Ste #C101,San Diego,CA,92154,Monday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),Every Monday from 3:30 pm to 6:00 pm,"2026 Rescheduled days: February 19, May 28, September 10 and October 15, 2026.",25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Immaculate Heart of Mary Church,537 E St,Ramona,CA,92065,Tuesday,SENIORS ONLY (60+),1st Tuesday of each month from 8:30 am - 10:00 am,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Imperial Beach Neighborhood Center,9850 Distribution Avenue,San Diego,CA,92121,Thursday,EFAP (DRY/FROZEN ITEMS),3rd Thursday of the month from 9:00 am - 10:30 am,No reschedules in 2026.,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Jacumba - Highland Senior Center,44681 Old Hwy 80,Jacumba,CA,91934,Monday,SENIORS ONLY (60+),2nd Monday of each month from 12:30 pm - 1:30 pm,Rescheduled Dates due to Holidays: October 19,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Jamul Community Church,14866 Lyons Valley Road,Jamul,CA,91935,,,,,Nonperishable dry goods and fresh produce,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Jewish Family Services of SD,8804 Balboa Avenue,San Diego,CA,92123,Sunday,EFAP (DRY/FROZEN ITEMS),"2nd Sunday of the Month, 4:00 pm - 5:30 pm",Rescheduled: May 3; No distribution in September 2026,"Food menu changes. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Journey Community Church,8363 Center Drive Suite 6C,La Mesa,CA,91942,Friday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),2nd Friday of the month from 9:00 am until food is gone,All distributions will be held on regularly scheduled days,25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
La Mesa Springs Apartments,8070 Orange Avenue,La Mesa,CA,91941,Wednesday,SENIORS ONLY (60+),2nd Wednesday of each month from 1:30 pm - 2:30 pm,Rescheduled Dates due to Holidays: November 16,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Lakeside Christian Helps Center,9931 Channel Road,Lakeside,CA,92040,Monday; Tuesday; Wednesday; Thursday,EFAP (DRY/FROZEN ITEMS),Monday - Thursday from 10:00 am - 12:00 pm,"Closed in 2026 on: Jan 1, Jan 19, Feb 16, May 25, Sep 7, Nov 11, Nov 26, Dec 21, Dec 22, Dec 23, Dec 24","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Lakeside Gardens Inc.,12219 Roberts Way,Lakeside,CA,92040,Monday,SENIORS ONLY (60+),4th Monday of each month from 9:00 am - 10:00 am,Rescheduled Dates due to Holidays: May 29 and December 23,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Las Americas Premium Outlets,Intersection of E 20th St & Newell St,National City,CA,91950,Wednesday,SENIORS ONLY (60+),1st Wednesday of each month from 7:00 am - 10:00 am,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Laurel Park Apartments,10122 Buena Vista Avenue,Santee,CA,92071,Monday,SENIORS ONLY (60+),4th Monday of each month from 10:30 am - 11:30 am,Rescheduled Dates due to Holidays: May 29 and December 23,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
LGBT Community Center,3909 Centre Street,San Diego,CA,92103,Tuesday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),1st Tuesday of the month from 8:00 am to 10:00 am,"November 10th, 2026",25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
LGBT Community Center,3909 Centre Street,San Diego,CA,92103,Tuesday,SENIORS ONLY (60+),4th Tuesday of each month from 1:00 pm - 3:00 pm,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Lutheran Social Services of SoCal Project Hand,580 Hilltop Drive,Chula Vista,CA,91910,Monday; Wednesday; Friday,EFAP (DRY/FROZEN ITEMS),"Mondays, Wednesdays, & Fridays from 9:00 am - 2:00 pm","Closed in 2026 on: Jan 9, Jan 19, Feb 13, Feb 16, Mar 13, Apr 3, Apr 10, May 8, May 25, Jun 12, Jun 19, Jul 10, Aug 14, Sep 7, Sep 11, Oct 9, Nov 11, Nov 13, Dec 11, Dec 25","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Lutheran Social Services of SoCal Project Hand,580 Hilltop Drive,Chula Vista,CA,91910,Friday,EFAP (DRY/FROZEN ITEMS),2nd Friday of the month from 9:00 am until food is gone,No reschedules in 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
MAAC Project at Chula Vista,1385 Third Avenue,Chula Vista,CA,91911,Thursday,EFAP (DRY/FROZEN ITEMS),3rd Thursday of each month from 8:30 am to 10:30 am,No reschedules for 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
MAAC Project at Laurel Tree Apartments,1307 Laurel Tree Lane,Carlsbad,CA,92011,Tuesday,EFAP (DRY/FROZEN ITEMS),3rd Tuesday of the month from 1:30 pm until food is gone,No reschedules for 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
MAAC Project at Mercado Apartments,2001 Newton Avenue,San Diego,CA,92113,Thursday,EFAP (DRY/FROZEN ITEMS),1st Thursday of the month from 9:00 am - 11:00 am,Rescheduled to: Jan 8,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
MAAC Project at San Martin de Porres Apartments,9140 Akard Street,Spring Valley,CA,91977,Tuesday,EFAP (DRY/FROZEN ITEMS),3rd Tuesday of the month from 10:00 am - 1:00 pm,No reschedules for 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
MAAC Project Community Center,1387 3rd Avenue,Chula Vista,CA,91911,Friday,SENIORS ONLY (60+),4th Friday of each month from 9:00 am - 3:00 pm,Rescheduled Dates due to Holidays: November 20 and December 18,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
MAAC Project Villa Lakeshore Apartments,12606 Lakeshore Drive,Lakeside,CA,92040,Tuesday,EFAP (DRY/FROZEN ITEMS),2nd Tuesday of the month from 9:00 am until food is gone,No reschedules for 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Meridian Baptist Church,660 S 3rd Street,El Cajon,CA,92019,Friday,SENIORS ONLY (60+),2nd Friday of each month from 1:00 pm - 3:00 pm,No reschedules for holidays.,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
